Name: 广东珠江, URL: http://14.145.234.231:8888/rtp/239.77.0.1:5146$1920x1080, Date: 2024-09-06, Resolution: 1920x1080, Response Time: 183 ms
Name: 广东珠江, URL: http://14.19.179.48:4022/rtp/239.77.0.1:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 299 ms
Name: 广东珠江, URL: http://14.117.234.110:9000/rtp/239.77.0.1:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 337 ms
Name: 广东珠江, URL: http://116.21.126.59:3333/rtp/239.77.0.1:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 342 ms
Name: 广东珠江, URL: http://113.93.54.144:5555/rtp/239.77.0.1:5146$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 346 ms
Name: 广东珠江, URL: http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 1307 ms
Name: 广东体育, URL: http://14.145.234.231:8888/rtp/239.77.0.112:5146$1920x1080, Date: 2024-09-06, Resolution: 1920x1080, Response Time: 197 ms
Name: 广东体育, URL: http://14.19.179.48:4022/rtp/239.77.0.112:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 269 ms
Name: 广东体育, URL: http://14.117.234.110:9000/rtp/239.77.0.112:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 279 ms
Name: 广东体育, URL: http://113.93.54.144:5555/rtp/239.77.0.112:5146$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 290 ms
Name: 广东体育, URL: http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 529 ms
Name: 广东新闻, URL: http://113.93.54.144:5555/rtp/239.77.0.173:5146$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 251 ms
Name: 广东新闻, URL: http://14.145.234.231:8888/rtp/239.77.0.173:5146$1920x1080, Date: 2024-09-06, Resolution: 1920x1080, Response Time: 278 ms
Name: 广东新闻, URL: http://116.21.126.59:3333/rtp/239.77.0.173:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 281 ms
Name: 广东新闻, URL: http://14.117.234.110:9000/rtp/239.77.0.173:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 306 ms
Name: 广东新闻, URL: http://14.19.179.48:4022/rtp/239.77.0.173:5146$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 318 ms
Name: 广东新闻, URL: http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8, Date: None, Resolution: None, Response Time: 452 ms
Name: 广东新闻, URL: http://183.237.246.14:32/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 523 ms
Name: CCTV-1, URL: http://114.243.97.176:8822/rtp/239.3.1.129:8008$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 26 ms
Name: CCTV-1, URL: http://116.235.46.2:4022/rtp/239.45.3.145:5140$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 56 ms
Name: CCTV-1, URL: http://60.223.72.133:8005/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 57 ms
Name: CCTV-1, URL: http://27.11.63.39:8005/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 63 ms
Name: CCTV-1, URL: http://123.123.167.240:8000/rtp/239.3.1.129:8008$1920x1080, Date: 2024-06-09, Resolution: 1920x1080, Response Time: 140 ms
Name: CCTV-1, URL: http://58.19.240.68:888/rtp/228.0.0.1:6108$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 140 ms
Name: CCTV-1, URL: http://115.60.241.249:2000/rtp/225.1.4.73:1102$1920x1080, Date: 2024-05-06, Resolution: 1920x1080, Response Time: 142 ms
Name: CCTV-1, URL: http://101.31.57.76:4022/rtp/239.253.92.83:8012$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 156 ms
Name: CCTV-1, URL: http://121.226.108.178:4022/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 193 ms
Name: CCTV-1, URL: http://121.226.22.63:55555/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 200 ms
Name: CCTV-1, URL: http://123.145.4.16:8004/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 215 ms
Name: CCTV-1, URL: http://114.91.25.0:10010/rtp/239.45.3.145:5140$1920x1080, Date: 2024-09-05, Resolution: 1920x1080, Response Time: 217 ms
Name: CCTV-1, URL: http://123.171.5.2:1724/rtp/239.21.1.120:5002$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 225 ms
Name: CCTV-1, URL: http://115.49.75.58:4000/rtp/225.1.4.73:1102$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 226 ms
Name: CCTV-1, URL: http://49.76.129.110:55555/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 240 ms
Name: CCTV-1, URL: http://113.218.210.110:4022/rtp/239.76.253.151:9000$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 258 ms
Name: CCTV-1, URL: http://49.75.139.24:8888/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 259 ms
Name: CCTV-1, URL: http://117.86.120.211:8888/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-06, Resolution: 1920x1080, Response Time: 262 ms
Name: CCTV-1, URL: http://123.113.236.69:8012/rtp/239.3.1.129:8008$1920x1080, Date: 2024-07-25, Resolution: 1920x1080, Response Time: 265 ms
Name: CCTV-1, URL: http://123.116.134.71:4022/rtp/239.3.1.129:8008$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 281 ms
Name: CCTV-1, URL: http://123.118.107.183:4022/rtp/239.3.1.129:8008$1920x1080, Date: 2024-09-09, Resolution: 1920x1080, Response Time: 281 ms
Name: CCTV-1, URL: http://222.141.133.38:888/rtp/225.1.4.73:1102$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 288 ms
Name: CCTV-1, URL: http://124.235.218.125:30007/rtp/239.37.0.254:5540$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 311 ms
Name: CCTV-1, URL: http://39.77.2.151:8989/rtp/239.253.254.77:8000$1920x1080, Date: 2024-09-10, Resolution: 1920x1080, Response Time: 335 ms
Name: CCTV-1, URL: http://180.154.97.94:4022/rtp/239.45.3.145:5140$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 341 ms
Name: CCTV-1, URL: http://116.226.37.29:4022/rtp/239.45.3.145:5140$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 342 ms
Name: CCTV-1, URL: http://182.151.234.232:5555/rtp/239.93.0.184:5140$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 352 ms
Name: CCTV-1, URL: http://113.206.113.54:55555/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 357 ms
Name: CCTV-1, URL: http://221.232.13.58:4022/rtp/239.254.96.96:8550$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 359 ms
Name: CCTV-1, URL: http://171.124.74.94:8005/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 360 ms
Name: CCTV-1, URL: http://14.105.22.80:20005/rtp/235.254.198.51:1480$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 362 ms
Name: CCTV-1, URL: http://58.19.240.68:888/rtp/228.0.0.167:7167$720x576, Date: 2024-09-12, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-1, URL: http://124.235.218.125:30007/rtp/239.37.0.218:5540$720x576, Date: 2024-09-11, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-1, URL: http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 384 ms
Name: CCTV-1, URL: http://210.22.75.86:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 388 ms
Name: CCTV-1, URL: http://58.216.229.130:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 391 ms
Name: CCTV-1, URL: http://220.179.68.222:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 398 ms
Name: CCTV-1, URL: http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 399 ms
Name: CCTV-1, URL: http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 400 ms
Name: CCTV-1, URL: http://59.173.243.210:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 405 ms
Name: CCTV-1, URL: http://123.139.57.170:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0, Date: None, Resolution: None, Response Time: 408 ms
Name: CCTV-1, URL: http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 411 ms
Name: CCTV-1, URL: http://218.87.237.106:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0, Date: None, Resolution: None, Response Time: 412 ms
Name: CCTV-1, URL: http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 412 ms
Name: CCTV-1, URL: http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 413 ms
Name: CCTV-1, URL: http://183.185.218.119:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 422 ms
Name: CCTV-1, URL: http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 423 ms
Name: CCTV-1, URL: http://202.100.46.58:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 423 ms
